text,umap_x,umap_y,cluster_id,cluster_title,cluster_intro,cluster_size
"The player is a moderately to highly active punisher and is willing to pay nontrivial costs to sanction others. Their punishment is selective rather than random: they spend when others clearly deviate from the maximum-contribution norm or behave in ways that undermine group efficiency or cohesion (e.g., early free riding, later inconsistent contribution, or possibly those seen as “problem” players). They sometimes refrain from punishing when the group is fully aligned and contributing maximally, but when a salient target emerges, their punishment intensity can escalate, even at significant personal cost. The pattern is more consistent with second-order norm enforcement and deterrence than with direct retaliation, because they are not themselves targeted and do not appear to be punishing in response to personal loss alone. They also continue punishing in late rounds when future benefits are minimal, which suggests a possible expressive or principled motive: they are willing to incur net losses to uphold their view of correct behavior. However, since their punishments cannot be directly tied to specific chat statements (they never speak), the exact identity of their targets and fine-grained motives beyond “noncompliance with the cooperative equilibrium” remain uncertain (low confidence on specific target mapping; higher confidence on general willingness to enforce norms at a cost).",0.94366,-0.91400164,14,Punishment / Punish / Norm,"This cluster groups personas with related strategy patterns around punishment, punish, norm, low, contributors.",142
"The player never uses the punishment option at any point and appears to ignore social prompts to participate in sanctioning. This is a stable feature of their behavior: they refrain from punishment both when others under-contribute and when they themselves become a central target of hostile talk and threats. There is no evidence of either deterrence-oriented punishment (to enforce group norms) or retaliation (to respond to personal attacks), despite many opportunities and strong social cues to do so. This strongly suggests a “non-punisher” or punishment-averse type. Their abstention does not shift even when sanctioning is framed by others as justified or necessary. Whether this is driven by principled rejection of punitive behavior, indifference to others’ choices, lack of concern for enforcement, or a narrow focus on contribution decisions alone is unknown. However, in practice, they behave as a pure cooperator who does not invest in second-order enforcement and does not engage in costly social control, even under direct provocation.",-0.8890674,0.43915212,6,Punishment / Non / Use,"This cluster groups personas with related strategy patterns around punishment, non, use, low, norm.",119
"They are highly restrained in using punishment. For most of the game, they either do not punish or, when punishment is clearly directed by the group at supposed defectors, they do not visibly join in beyond a single small expenditure. They never publicly advocate for punishment in chat and never threaten others. When they finally do punish, the amount is modest relative to what others spend; target and motive are unknown from the transcript, but timing suggests it could be directed at a perceived unfair actor rather than as part of the group’s large-scale, spiteful punishment campaigns. Their verbal stance is strongly anti-bullying, but not overtly anti-punishment as an institution. They criticize harassment and demeaning language more than the use of punishment to enforce contribution norms. They do not retaliate with punishment when they are insulted or threatened, even when others explicitly announce ongoing deductions against them. This indicates low propensity for retaliatory punishment and little taste for costly spite. Overall, they behave like a “reluctant, principled punisher”: willing to spend a small amount once, possibly to signal disapproval or align minimally with norm enforcement, but generally avoiding punishment when it is used as a tool of cruelty or domination rather than fairness or efficiency. Their primary response to norm violations (as they see them) is moral argument in chat, not monetary sanction.",0.16596304,0.3706389,8,Punishment / Punish / Norm,"This cluster groups personas with related strategy patterns around punishment, punish, norm, group, low.",122
"Punishment is central to this player’s identity and strategy. They are extremely willing to spend large amounts on punishment, even when it is personally very costly and clearly lowers their own payoff substantially. Their punishments are initially directed at clear free riders or non-max contributors, fitting a strong “altruistic enforcer” type: they publicly call for everyone to punish non-max contributors and explicitly state they will punish all who deviate from full contribution. Over time, their punishment pattern broadens into both norm enforcement and personal retaliation. Targets include: (1) players who contribute less than maximum; (2) players suspected of being bots or illegitimate participants; and (3) players who criticize bullying or claim moral objections to the group’s treatment of others. Once someone is labeled as “stupid,” “greedy,” or morally inferior, this player is willing to punish them repeatedly and at extreme cost, sometimes announcing very large cumulative punishment they claim to have imposed. They appear to experience substantial satisfaction or entertainment from harshly punishing certain targets, repeatedly taunting them and emphasizing how little money the targets will end up with. Deterrence and norm maintenance are part of their stated motive: they argue that “bullying worked” when a previously non-contributing player starts conforming, and they continually assert that full contribution is the correct, rational norm that must be enforced. However, much of their punishment becomes expressive and retributive: they say they will “spend all of my money just to take all of yours,” and they continue punishing even when the target’s behavior has already conformed, suggesting a strong taste for moralized retaliation and status dominance rather than purely instrumental deterrence. They sometimes try to coordinate group punishment campaigns, including proposing end-of-game collective sacrifices to strip a target of all earnings. Their punishment is highly selective and identity-based rather than mechanically tied to current contribution levels: once a player is categorized as “the enemy,” they remain a punishment target regardless of current cooperative behavior. Overall, this player fits an “intense moralistic enforcer” type: a consistent cooperator who is willing to incur very large personal costs to punish perceived defectors or moral opponents, and who uses both the punishment mechanism and social aggression as tools of enforcement and dominance.",1.4591573,1.3005708,12,Punishment / Punish / Norm,"This cluster groups personas with related strategy patterns around punishment, punish, norm, contributors, low.",127
"They are a heavy, proactive punisher with a clear taste for norm enforcement and retribution. From early in the game they declare that they punish anyone who does not contribute the maximum and follow through with substantial expenditures on punishment across many rounds. Their targets are primarily players who fail to max contribute and those perceived as undermining group earnings or norms (initially a very low contributor, later a critic of “bullying,” and persistently a player cast as hypocritical or greedy). They do not appear to punish cooperators; punishment is selective but harsh against designated deviants. The magnitude of punishment they sustain over many rounds indicates a willingness to incur sizable personal costs to impose large losses on others, consistent with strong altruistic (or spiteful) punishment rather than purely instrumental deterrence. Once a player is categorized as a bad actor, they support ongoing, escalating sanctions and join in coordinated efforts to “make them hurt” or even drive them to near‑zero earnings. Their language suggests that punishing is morally and emotionally gratifying; they frame it as deserved justice for stupidity, greed, or disrespect of the group. Deterrence and norm signaling are present, but the persistence and intensity of punishment even after targets adjust or fall silent indicates a strong retaliatory and expressive component, not just strategic enforcement.",1.6664497,0.29812557,13,Punishment / Punish / Contributors,"This cluster groups personas with related strategy patterns around punishment, punish, contributors, norm, low.",148
"This player is a frequent, costly, and norm-based punisher. They initially refrain from punishing when contributions are high and aligned with their max-cooperation standard; once clear free-riders or partial contributors emerge, they begin spending substantial resources to punish them and persist in doing so across many rounds. Their punishment is selective: they target those who do not contribute fully or who oppose the punitive norm, not random others. The motive appears primarily deterrent and retributive: they explicitly want non-cooperators to “hurt,” and they support group coordination on severe sanctions. They are willing to incur sizable personal costs to enforce the cooperative norm even when the incremental economic benefit is likely negative, indicating strong preference for norm enforcement and out-group discipline. They endorse a “us vs. requesters, not us vs. us” framing, yet in practice they prioritize punishing internal defectors as the main threat. Overall, they function as an aggressive, moralizing enforcer: a high-contribution, high-punishment player who trades off some own payoff to uphold and impose a strict cooperation standard.",1.4810845,1.2652223,12,Punishment / Punish / Norm,"This cluster groups personas with related strategy patterns around punishment, punish, norm, contributors, low.",127
"They are a moderately heavy, payoff‑sacrificing punisher who uses costly sanctions repeatedly against low contributors or norm violators. They spend a substantial amount of their own payoff to impose deductions across many rounds, including when group cooperation is already high and when the main remaining “offenses” are isolated low contributors or targeted individuals. This indicates a willingness to incur real cost for enforcement, not just opportunistic or retaliatory punishment. Their pattern is consistent with second‑order cooperation: they help sustain the cooperative norm by punishing defectors and non‑conforming behavior, even though punishers are anonymous and they receive no direct reputational benefit. They are selective in the sense that they do not punish in every round, but across the game they punish often enough to be considered firmly pro‑sanction. Their motives appear more deterrent/norm‑enforcing than retaliatory, as they are never themselves punished and do not respond to personal harm. The exact targets and intensity in each episode are not observable from the transcript, so the fine structure of their selectivity is unknown, but in aggregate they behave like a committed, norm‑driven enforcer who is willing to trade off personal earnings to discipline the group.",1.2256325,-0.1980974,14,Punishment / Punish / Norm,"This cluster groups personas with related strategy patterns around punishment, punish, norm, low, contributors.",142
"They are an extremely willing and heavy user of costly punishment. From early on they advocate punishing any non‑max contributor and publicly encourage others to do the same. They self‑report large intended punishments and, given their consistently reduced payoffs relative to non‑punishing full contributors, they repeatedly follow through. Their punishment is targeted: they focus on players who either contribute nothing, fail to match the group’s full‑contribution standard, or publicly oppose the bullying/harsh enforcement strategy. They show no evidence of “anti‑social” punishment toward cooperators; all evidence points to norm‑enforcing, not random, targeting. Their motives mix deterrence and expressive retribution: they aim both to make under‑contributors “hurt” and to signal that greedy or morally oppositional behavior is unacceptable. They persist in punishing even when the main target continues to contribute fully, indicating that earlier or parallel behavior in chat (perceived hypocrisy or moral grandstanding) becomes sufficient grounds for continued sanctions. They accept substantial personal cost to maintain these punishments, suggesting a strong preference for norm enforcement even when it is individually costly.",1.2147591,1.6583747,10,Punishment / Punish / Norm,"This cluster groups personas with related strategy patterns around punishment, punish, norm, player, free.",119
"They never spend any coins on punishment despite repeatedly suffering extremely heavy deductions and being insulted by several others. This strongly suggests they reject the use of punitive tools in this environment on principle. Their chat contributions reinforce this: they criticize others specifically for using punishment and ridicule against a single low contributor and then against themselves. They are not interested in deterrence, reciprocity, or retaliation, even when it would be emotionally understandable. Instead, they absorb large losses while continuing to argue against what they see as bullying. They do not selectively punish even clear norm violators; rather than enforce norms, they question the legitimacy of the prevailing norm itself. Their stance is thus “anti-punishment” and anti-bullying: they view the punishment system, as used by others, as morally corrupting, and decline to participate in it even at a significant personal cost.",-0.29415327,1.2067236,4,Punishment / Free / Non,"This cluster groups personas with related strategy patterns around punishment, free, non, norm, low.",112
"This player is an active and relatively persistent punisher. They spend on punishment in many rounds, and the costliness of the mechanism does not deter them from repeated use. The timing and context of their sanctions indicate that they primarily target low contributors and perceived free riders, consistent with altruistic or norm-enforcing punishment rather than random or purely retaliatory behavior. They do sometimes receive punishment themselves, but they do not clearly adjust their punishment behavior in a conciliatory way afterward; they continue to sanction others in subsequent rounds. This suggests that their motivation is not easily dampened by being on the receiving end and that they are not mainly using punishment as a tit-for-tat retaliation tool. Instead, they behave as a “moral enforcer” who is willing to pay to discipline defectors, even at a net personal cost. They are selective rather than maximalist: they do not punish in every single round, and there are cooperative environments where they withhold punishment. However, when clear low contributors are present, they often choose to sanction multiple times per round, especially when defection is stark. Toward the end of the game, they increase both the frequency and intensity of punishment, which supports the interpretation that they value enforcement or expressing disapproval in itself, independent of future strategic benefits. Overall, their punishment profile is that of a conditional cooperator who under-contributes relative to strong cooperators but over-invests in third-party punishment relative to what is needed for narrow self-interest, indicating a complex mix of self-protection, norm concern, and a willingness to incur costs to police others’ behavior.",1.22683,-0.8893866,14,Punishment / Punish / Norm,"This cluster groups personas with related strategy patterns around punishment, punish, norm, low, contributors.",142
"The player is a frequent and relatively heavy user of costly punishment. They expend punishment in many rounds, and in some cases devote a nontrivial share of their resources to sanctioning others. This indicates a high willingness to incur personal costs to shape group behavior. Their punishment appears primarily norm‑enforcing rather than random. They are exposed to a mix of cooperative and clearly non‑cooperative behaviors in the group, and their punishment intensity increases when overall contributions drop or when multiple players contribute very little or nothing. Conversely, in periods when group cooperation improves and average contributions are higher, they sometimes refrain from punishing entirely. This pattern is consistent with targeting perceived free‑riding or shirking. They also receive punishment themselves even when contributing generously, yet they continue to punish others in later periods. This suggests that retaliation for being punished is not their dominant motive; they do not abandon punishment when they become a target, nor do they visibly escalate their use of punishment in strict response to deductions from their own payoff. Instead, their use of sanctions tracks group contribution patterns more than their own treatment. Selectivity at the individual level is unknown because the transcript does not reveal who they punish, only how much they spend. However, the timing strongly suggests they focus on low contributors rather than punishing indiscriminately. Their pattern fits a “strong reciprocator” or “altruistic punisher” type: they are willing to sacrifice to discipline free‑riders and to support cooperative norms, even though this is individually costly and not guaranteed to be repaid. Overall, punishment for this player functions as a tool for norm enforcement and deterrence, aimed at sustaining higher contribution levels in the group rather than maximizing their immediate personal payoff.",1.3087442,-0.70204985,14,Punishment / Punish / Norm,"This cluster groups personas with related strategy patterns around punishment, punish, norm, low, contributors.",142
"This player is an active, often heavy, and primarily norm-enforcing punisher. They spend substantial resources on punishment across multiple rounds and do not receive any punishment themselves except once, suggesting their own behavior is generally viewed as acceptable by the group while they target others whom they see as deviating from a cooperation standard. The triggers for punishment appear to be low or very low contributions relative to the group. The player’s punishment is likely focused on clear under-contributors and possible exploiters of the public good, rather than spread evenly or directed at high contributors. This implies a fairness- and norm-based motive: they punish to discipline free riders and uphold a cooperative standard, not for random aggression. The magnitude of punishment per round is often large, indicating a high willingness to sacrifice own payoff to impose substantial costs on perceived defectors. The player sometimes refrains from punishment entirely in periods where overall cooperation is stronger or where egregious low contributions are fewer, suggesting some selectivity: they are not purely spiteful or punishment-happy in all contexts. Retaliation as a driver is uncertain. There is one instance in which the player is punished but does not subsequently adjust their behavior in an obvious revenge-like manner toward any identifiable individual (and anonymity prevents precise targeting anyway), so direct retaliation cannot be firmly inferred and seems unlikely to be the core driver. Instead, the pattern is more consistent with second-order norm enforcement: they impose costs on free riders even when doing so reduces their own monetary payoff and even late in the game when deterrence value is low. Deterrence motives are still plausible in earlier and middle phases—strong punishment could be intended to shape future contributions—but the persistence and intensity, especially near the end, point to intrinsic enforcement preferences and strong negative reactions to unfairness. In new PGG environments with punishment available, this player is expected to: (1) monitor others’ contributions relative to the group norm, (2) punish under-contributors selectively but sometimes heavily, and (3) accept nontrivial personal cost to maintain perceived fairness and protect the cooperative standard, even when material incentives to do so are weak.",1.2684456,-0.29980883,14,Punishment / Punish / Norm,"This cluster groups personas with related strategy patterns around punishment, punish, norm, low, contributors.",142
"This player never uses the punishment mechanism, despite multiple opportunities and despite being a repeated target of costly sanctions themselves. They absorb substantial deductions without retaliating or attempting to discipline low contributors, suggesting a strong reluctance to spend their own resources on norm enforcement. Their non-use of punishment persists across cooperative and non-cooperative phases, indicating a stable trait rather than a situational oversight. This aligns with a payoff-maximizing stance toward the second-order public good: they treat punishment as an unnecessary cost, even when it might deter future sanctions against themselves or stabilize cooperation. There is no evidence of anger-driven retaliation, moralistic punishment, or targeted norm enforcement; their motives appear purely first-order (own payoff from contributions and redistributions), not second-order (shaping others’ behavior via punishment). Their type is therefore “non-punishing, sanction-sensitive free-rider”: they respond to being punished by adjusting contributions but never themselves invest in punishing others.",-0.7746662,0.59889954,6,Punishment / Non / Use,"This cluster groups personas with related strategy patterns around punishment, non, use, low, norm.",119
"The player never spends on punishment despite repeated opportunities and despite being punished themselves, sometimes heavily. This strongly indicates a non-punitive, non-retaliatory style. They neither use punishment to enforce norms nor to get revenge for prior deductions. Their passivity in the punishment stage suggests they may view punishment as inefficient or strategically unprofitable, prioritizing their own earnings over norm enforcement. Alternatively, they may be conflict-averse or indifferent to sanctioning others, even when facing clear under-contributors in the group. Since they are themselves a moderate, sometimes slightly below-average contributor, they might also be reluctant to act as a “moral enforcer” given their own partial free-riding. Overall, they fit a “non-punishing opportunist” profile: they accept the punishment institution as a constraint on their own behavior but do not actively use it to shape others’ actions, and they absorb sanctions without escalating or retaliating.",-0.9134552,0.73652065,2,Punishment / Non / Punishing,"This cluster groups personas with related strategy patterns around punishment, non, punishing, use, low.",115
"This player uses punishment intermittently and in a targeted way, not constantly. They are clearly willing to bear personal cost to penalize others, but they do not punish every round nor in proportion to the total number of low contributors present. This pattern suggests selectivity and some deliberation over when punishment is “worth it.” Given that punishment is costly and punishment opportunities coincide with visible contribution profiles, the most plausible trigger is perceived free-riding or unusually low contributions relative to the rest of the group. Their punishment is more frequent in environments where some players contribute very little while others contribute a lot, consistent with enforcing a fairness or reciprocity norm. When the overall pattern of contributions is relatively cooperative or when they themselves contribute less, they are more likely to refrain from punishing, indicating they are not simply spiteful or punishment-happy. Their own experience of being punished in one round does not lead to a clearly retaliatory spike in their subsequent punishment usage. After being sanctioned, they do not suddenly escalate costly punishment against others in a sustained way. This makes pure revenge or spite a low-confidence motive. Instead, their punishment behavior appears more aligned with norm enforcement and deterrence: picking out clear low contributors to discipline, while tolerating moderate variation. In summary, they are a “conditional norm enforcer”: willing to spend on punishment to correct what they see as unfair low contributions, selectively and without clear evidence of vindictive retaliation.",1.0172399,-0.76855266,14,Punishment / Punish / Norm,"This cluster groups personas with related strategy patterns around punishment, punish, norm, low, contributors.",142
"The player never uses punishment at any point, despite being exposed repeatedly to others’ contributions that range from zero to maximum. They also receive nontrivial punishment themselves after low contributions, yet they do not retaliate. This consistent non-use of punishment persists regardless of others’ behavior or the remaining rounds. This pattern indicates a strong reluctance—or principled refusal—to spend personal resources to sanction others. Whether this stems from prosocial motives (disliking harm) or purely self-interested cost avoidance is unclear. What is clear is that they do not engage in norm enforcement, even when it would align with their later cooperative behavior and even when punishing chronic low contributors might improve future outcomes. They accept being a target of punishment without observable attempts at revenge, suggesting low retributive motivation and a tendency to adapt through changing their own behavior rather than trying to control others. Because they never punish when others contribute very low amounts, they likely either believe that the punishment mechanism is inefficient for them personally, or they simply adopt a “live and let live” stance, focusing on their own contributions. There is no evidence they attempt to use punishment for deterrence, coordination, or signaling. Their strategy is purely reactive through contribution adjustments, not active through sanctions. Overall, they fit a “non-punishing conditional cooperator” profile: they are responsive to being punished—raising their contributions afterward—but they themselves do not impose punishment under any observed condition.",-0.9899278,1.5870374,4,Punishment / Free / Non,"This cluster groups personas with related strategy patterns around punishment, free, non, norm, low.",112
"They are willing to use costly punishment and escalate it over time, even when it reduces their own payoffs substantially. Early on, they use punishment sparingly and at low intensity; later, they significantly increase total punishment expenditure. This progression is consistent with growing frustration rather than a pre-planned enforcement schedule. Given their consistently high own contributions, the most plausible punishment trigger is norm enforcement against perceived free riders or inconsistent contributors. Their pattern suggests they likely target players who contribute very little or who reduce contributions sharply. Because they themselves are punished multiple times despite high contributions, their later punishment spikes may also incorporate an element of retaliation or generalized anger at the group (“antisocial punishment of antisocial punishers”), though who they target is unknown. They are not purely efficiency-oriented: in this environment, punishment is relatively potent but still costly. Their heavy use of it, especially later, indicates they prioritize expressing disapproval and enforcing a cooperative norm over maximizing their own monetary outcome. Deterrence is a plausible motive — trying to discipline chronic low contributors — but the scale and timing of later sanctions (when many rounds have already passed and gains from future cooperation are limited) suggests that emotional or justice-oriented motives are at least as important as instrumental ones. They are selective in the sense that they do not punish in every opportunity, and they abstain from punishment in many rounds while still being exploited and punished themselves. This indicates some threshold or internal rule (“tolerate noise, but punish when behavior crosses a line”); the precise trigger is unknown, but it is unlikely to be random, given the sparse early punishment and heavier late use. Overall, they function as a principled, high-cost norm enforcer who becomes increasingly punitive when the group’s behavior violates their cooperative expectations and when they personally experience unfair punishment.",0.9483961,-1.072202,11,Punishment / Punish / Low,"This cluster groups personas with related strategy patterns around punishment, punish, low, norm, use.",104
"This player uses punishment very sparingly and in a targeted, reactive way. Across the game they almost never spend on punishment, activating it only on rare occasions. When they do choose to punish, it coincides with clear deviations from their usual cooperative pattern, suggesting that punishment is linked to salient frustration or norm-enforcement impulses rather than being part of a consistent strategic toolkit. Based on the timing and context of the rare punishment instances, the likely trigger is the presence of conspicuously low contributors or free-riders, especially when the group contribution climate deteriorates. They appears to tolerate a degree of heterogeneity in contributions without punishing, so the threshold for acting is relatively high: only when non-cooperation becomes especially salient or personally costly do they expend resources to sanction others. There is no evidence that they use punishment as systematic deterrence, nor that they escalate punishment in response to being punished themselves (their received punishment is low and does not produce visible retaliatory patterns). This supports an interpretation of them as a “reluctant enforcer”: they primarily prefers to earn through stable cooperation and personal contributions, resorting to punishment only when they perceive strong norm violations and when their own cooperative stance is already strained. They also exhibits no sign of antisocial punishment; they does not target apparent high contributors or cooperators. This aligns with a pro-social, norm-enforcing orientation rather than spite or competitive motives. Overall, they is a low-frequency, selective punisher whose main strategy is to rely on steady contributions rather than on active sanctioning to shape group behavior.",0.510913,-0.910147,7,Punishment / Low / Punish,"This cluster groups personas with related strategy patterns around punishment, low, punish, norm, use.",91
