metric_id,metric_label_human,variable_code_human,cond1_label_human,cond2_label_human,direction_human,cond1_mean_human,cond1_sd_human,cond1_n_human,cond2_mean_human,cond2_sd_human,cond2_n_human,effect_human,supports_direction_human,metric_label_model,variable_code_model,cond1_label_model,cond2_label_model,direction_model,cond1_mean_model,cond1_sd_model,cond1_n_model,cond2_mean_model,cond2_sd_model,cond2_n_model,effect_model,supports_direction_model,effect_abs_error,cond1_mean_abs_error,cond2_mean_abs_error,direction_match,run_name,run_label
sh_against_llm,Less cooperation in SH,SH_raw,AgainstAI,AgainstHuman,less,0.685,0.4656815397698429,200,0.79,0.4083303421761706,200,-0.1049999999999999,True,Less cooperation in SH,SH_raw,AgainstAI,AgainstHuman,less,0.2408376963350785,0.4287157441806275,191,0.8743455497382199,0.3323306311310857,191,-0.6335078534031413,True,0.5285078534031413,0.4441623036649215,0.0843455497382198,True,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
coordination_against_llm,Less predictability in C,Earth,AgainstAI,AgainstHuman,less,0.58,0.4947970499134116,200,0.69,0.4636538303215657,200,-0.1099999999999999,True,Less predictability in C,Earth,AgainstAI,AgainstHuman,less,0.8219895287958116,0.3835268739575773,191,0.9895287958115184,0.1020592601751043,191,-0.1675392670157067,True,0.0575392670157067,0.2419895287958116,0.2995287958115183,True,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
ug_offer_against_llm,Lower offers against LLM,UGProposer_raw,AgainstAI,AgainstHuman,less,4.405,1.6748134224444198,200,4.715,1.183545053841365,200,-0.3099999999999996,True,Lower offers against LLM,UGProposer_raw,AgainstAI,AgainstHuman,less,3.492146596858639,0.6558972155327548,191,4.2356020942408374,0.5047036950380537,191,-0.7434554973821985,True,0.4334554973821989,0.9128534031413612,0.4793979057591624,True,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
ug_threshold_against_llm,Tolerate less inequality,UGResponder_raw,AgainstAI,AgainstHuman,less,3.93,1.6396776248908935,200,4.02,1.619479412601221,200,-0.0899999999999994,True,Tolerate less inequality,UGResponder_raw,AgainstAI,AgainstHuman,less,2.183246073298429,0.4951681661955326,191,2.93717277486911,0.3645189569716955,191,-0.753926701570681,True,0.6639267015706816,1.746753926701571,1.0828272251308897,True,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
trust_in_llm,Less trust in LLM,TGSender_raw,AgainstAI,AgainstHuman,less,0.595,0.4921238966441698,200,0.725,0.4476347667709808,200,-0.13,True,Less trust in LLM,TGSender_raw,AgainstAI,AgainstHuman,less,0.6581632653061225,0.4755398485581614,196,0.8112244897959183,0.3923323167695852,196,-0.1530612244897958,True,0.0230612244897958,0.0631632653061224,0.0862244897959183,True,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
trustworthy_against_llm,Less trustworthy against LLM,TGReceiver_raw,AgainstAI,AgainstHuman,less,2.245,1.567565407417713,200,2.48,1.438731993369062,200,-0.2349999999999998,True,Less trustworthy against LLM,TGReceiver_raw,AgainstAI,AgainstHuman,less,2.204081632653061,1.1273675593233805,196,2.413265306122449,1.1175190245706528,196,-0.2091836734693881,True,0.0258163265306117,0.0409183673469391,0.0667346938775508,True,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
pd_against_llm,Less cooperation in PD,PD_raw,AgainstAI,AgainstHuman,less,0.475,0.5006277466376767,200,0.56,0.4976325863071806,200,-0.085,True,Less cooperation in PD,PD_raw,AgainstAI,AgainstHuman,less,0.7295918367346939,0.4453081177430871,196,0.8571428571428571,0.3508232077228114,196,-0.1275510204081632,True,0.0425510204081631,0.2545918367346939,0.297142857142857,True,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
sh_against_llm,Less cooperation in SH,SH_raw,AgainstAI,AgainstHuman,less,0.685,0.4656815397698429,200,0.79,0.4083303421761706,200,-0.1049999999999999,True,Less cooperation in SH,SH_raw,AgainstAI,AgainstHuman,less,0.7448979591836735,0.4370348689907507,196,0.8163265306122449,0.3882092688495753,196,-0.0714285714285714,True,0.0335714285714285,0.0598979591836734,0.0263265306122448,True,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
coordination_against_llm,Less predictability in C,Earth,AgainstAI,AgainstHuman,less,0.58,0.4947970499134116,200,0.69,0.4636538303215657,200,-0.1099999999999999,True,Less predictability in C,Earth,AgainstAI,AgainstHuman,less,0.9948979591836736,0.0714285714285714,196,1.0,0.0,196,-0.0051020408163264,True,0.1048979591836735,0.4148979591836735,0.31,True,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
ug_offer_against_llm,Lower offers against LLM,UGProposer_raw,AgainstAI,AgainstHuman,less,4.405,1.6748134224444198,200,4.715,1.183545053841365,200,-0.3099999999999996,True,Lower offers against LLM,UGProposer_raw,AgainstAI,AgainstHuman,less,4.025510204081633,1.1297207482940692,196,4.494897959183674,1.050018065678979,196,-0.4693877551020406,True,0.159387755102041,0.3794897959183672,0.2201020408163261,True,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
ug_threshold_against_llm,Tolerate less inequality,UGResponder_raw,AgainstAI,AgainstHuman,less,3.93,1.6396776248908935,200,4.02,1.619479412601221,200,-0.0899999999999994,True,Tolerate less inequality,UGResponder_raw,AgainstAI,AgainstHuman,less,1.9846938775510203,1.2668436076806413,196,2.2806122448979593,1.319608190744534,196,-0.295918367346939,True,0.2059183673469395,1.94530612244898,1.7393877551020402,True,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
trust_in_llm,Less trust in LLM,TGSender_raw,AgainstAI,AgainstHuman,less,0.595,0.4921238966441698,200,0.725,0.4476347667709808,200,-0.13,True,Less trust in LLM,TGSender_raw,AgainstAI,AgainstHuman,less,0.6510416666666666,0.4778868826410175,192,0.8385416666666666,0.3689151470045038,192,-0.1875,True,0.0574999999999999,0.0560416666666666,0.1135416666666666,True,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
trustworthy_against_llm,Less trustworthy against LLM,TGReceiver_raw,AgainstAI,AgainstHuman,less,2.245,1.567565407417713,200,2.48,1.438731993369062,200,-0.2349999999999998,True,Less trustworthy against LLM,TGReceiver_raw,AgainstAI,AgainstHuman,less,2.34375,1.1379059024945504,192,2.5625,1.119204092669036,192,-0.21875,True,0.0162499999999998,0.0987499999999999,0.0825,True,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
pd_against_llm,Less cooperation in PD,PD_raw,AgainstAI,AgainstHuman,less,0.475,0.5006277466376767,200,0.56,0.4976325863071806,200,-0.085,True,Less cooperation in PD,PD_raw,AgainstAI,AgainstHuman,less,0.7395833333333334,0.4400093208595485,192,0.8802083333333334,0.3255666961583598,192,-0.140625,True,0.0556249999999999,0.2645833333333334,0.3202083333333333,True,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
sh_against_llm,Less cooperation in SH,SH_raw,AgainstAI,AgainstHuman,less,0.685,0.4656815397698429,200,0.79,0.4083303421761706,200,-0.1049999999999999,True,Less cooperation in SH,SH_raw,AgainstAI,AgainstHuman,less,0.7395833333333334,0.4400093208595485,192,0.7916666666666666,0.4071781751489474,192,-0.0520833333333332,True,0.0529166666666667,0.0545833333333333,0.0016666666666665,True,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
coordination_against_llm,Less predictability in C,Earth,AgainstAI,AgainstHuman,less,0.58,0.4947970499134116,200,0.69,0.4636538303215657,200,-0.1099999999999999,True,Less predictability in C,Earth,AgainstAI,AgainstHuman,less,0.9895833333333334,0.1017945437872367,192,1.0,0.0,192,-0.0104166666666666,True,0.0995833333333333,0.4095833333333334,0.31,True,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
ug_offer_against_llm,Lower offers against LLM,UGProposer_raw,AgainstAI,AgainstHuman,less,4.405,1.6748134224444198,200,4.715,1.183545053841365,200,-0.3099999999999996,True,Lower offers against LLM,UGProposer_raw,AgainstAI,AgainstHuman,less,3.9739583333333335,1.25924807545308,192,4.395833333333333,1.1254241007867938,192,-0.4218749999999995,True,0.1118749999999999,0.4310416666666667,0.3191666666666668,True,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
ug_threshold_against_llm,Tolerate less inequality,UGResponder_raw,AgainstAI,AgainstHuman,less,3.93,1.6396776248908935,200,4.02,1.619479412601221,200,-0.0899999999999994,True,Tolerate less inequality,UGResponder_raw,AgainstAI,AgainstHuman,less,1.65625,1.1516264392142888,192,1.9270833333333333,1.2128870983888171,192,-0.2708333333333332,True,0.1808333333333338,2.27375,2.0929166666666665,True,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
