custom_id,estimated_input_chars,estimated_input_tokens_char4
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_2khRAszouj8vP8ZfP__p001__g019,10456,2614
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_CoHyYysb84APn5gDE__p001__g020,10460,2615
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_2KKC9nMd8nRXfgH5G__p001__g021,11594,2898
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_PrfKWppTZdvPhe4oN__p001__g022,12927,3232
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_6Pxb9DsQpyk22cJNr__p001__g023,8562,2140
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_Fm7uYc98E2b6kcoDE__p001__g024,9403,2351
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_9oyspxPncwXdAkruR__p001__g025,8832,2208
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_2TDnnb4wn9rwy3CYZ__p001__g026,9772,2443
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_7ywewvEuctuz4Rq8j__p001__g027,12195,3049
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_AJ4ikZuWJeJcEXhgZ__p001__g028,11673,2918
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_3v9ji6wNY7sXHe8cM__p001__g029,10929,2732
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_8GneB6qmtDLSnbcJT__p001__g030,9816,2454
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_6sSM4xSyZQkaxyHav__p001__g031,9019,2255
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_3EQGxadfbmAKaACgZ__p001__g032,8851,2213
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_Aj2G7CTuhLZ7Z2SPK__p001__g033,9347,2337
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_FAuuG8S2iw8wkGRnA__p001__g034,11684,2921
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_SFohXkBYvScM7Y7rC__p001__g035,10812,2703
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_5R7YRmti4R5GiJKpi__p001__g036,12045,3011
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_6BxRfLcBtXYodAS8h__p001__g037,7993,1998
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_7Y6PBvgZNqtriKzaZ__p001__g038,8478,2120
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_HmA52oSS75D5Z2W8a__p001__g039,12220,3055
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_6pQRuemJv5faRcZft__p001__g040,12166,3042
nemotron_pgg_match__pid_nemotron_c36692df108d__game_5mhtM66ewYHNxSp4q__p002__g001,9687,2422
nemotron_pgg_match__pid_nemotron_c36692df108d__game_2TquMDieEiixty8AN__p002__g002,12615,3154
nemotron_pgg_match__pid_nemotron_c36692df108d__game_65crAkEscRbHNJXbW__p002__g003,9395,2349
nemotron_pgg_match__pid_nemotron_c36692df108d__game_3EG5RaDj4z7hkT2JD__p002__g004,10028,2507
nemotron_pgg_match__pid_nemotron_c36692df108d__game_PmcxhmDRj2tN3cECC__p002__g005,20799,5200
nemotron_pgg_match__pid_nemotron_c36692df108d__game_925LF9k9CXpz8KjQm__p002__g006,26268,6567
nemotron_pgg_match__pid_nemotron_c36692df108d__game_ASQtYBWx6cGN27KxL__p002__g007,11255,2814
nemotron_pgg_match__pid_nemotron_c36692df108d__game_DYFJDsdGg8bppBJ7P__p002__g008,12084,3021
nemotron_pgg_match__pid_nemotron_c36692df108d__game_CbDvrXGkphmfGtH3G__p002__g009,18290,4572
nemotron_pgg_match__pid_nemotron_c36692df108d__game_FvbM5EM5aB5pcjLpA__p002__g010,15212,3803
nemotron_pgg_match__pid_nemotron_c36692df108d__game_C5Cd8Yq5dDbdycXKB__p002__g011,12845,3211
nemotron_pgg_match__pid_nemotron_c36692df108d__game_AyQkFs97hRTki5zWR__p002__g012,13952,3488
nemotron_pgg_match__pid_nemotron_c36692df108d__game_7oRFMBwqmesGX7t3H__p002__g013,21112,5278
nemotron_pgg_match__pid_nemotron_c36692df108d__game_fMhhGrfpZH9ign2AK__p002__g014,14762,3690
nemotron_pgg_match__pid_nemotron_c36692df108d__game_i7C4Y4NiesraiSwwb__p002__g015,13046,3262
nemotron_pgg_match__pid_nemotron_c36692df108d__game_7tfDsTHHnxsgrhE3d__p002__g016,15439,3860
nemotron_pgg_match__pid_nemotron_c36692df108d__game_r7Bk7fEwX3HSRrXMZ__p002__g017,10663,2666
nemotron_pgg_match__pid_nemotron_c36692df108d__game_7FQezekfKk3zctLN8__p002__g018,16818,4204
nemotron_pgg_match__pid_nemotron_c36692df108d__game_2khRAszouj8vP8ZfP__p002__g019,12190,3048
nemotron_pgg_match__pid_nemotron_c36692df108d__game_CoHyYysb84APn5gDE__p002__g020,12194,3048
nemotron_pgg_match__pid_nemotron_c36692df108d__game_2KKC9nMd8nRXfgH5G__p002__g021,13328,3332
nemotron_pgg_match__pid_nemotron_c36692df108d__game_PrfKWppTZdvPhe4oN__p002__g022,14661,3665
nemotron_pgg_match__pid_nemotron_c36692df108d__game_6Pxb9DsQpyk22cJNr__p002__g023,10296,2574
nemotron_pgg_match__pid_nemotron_c36692df108d__game_Fm7uYc98E2b6kcoDE__p002__g024,11137,2784
nemotron_pgg_match__pid_nemotron_c36692df108d__game_9oyspxPncwXdAkruR__p002__g025,10566,2642
nemotron_pgg_match__pid_nemotron_c36692df108d__game_2TDnnb4wn9rwy3CYZ__p002__g026,11506,2876
nemotron_pgg_match__pid_nemotron_c36692df108d__game_7ywewvEuctuz4Rq8j__p002__g027,13929,3482
nemotron_pgg_match__pid_nemotron_c36692df108d__game_AJ4ikZuWJeJcEXhgZ__p002__g028,13407,3352
nemotron_pgg_match__pid_nemotron_c36692df108d__game_3v9ji6wNY7sXHe8cM__p002__g029,12663,3166
nemotron_pgg_match__pid_nemotron_c36692df108d__game_8GneB6qmtDLSnbcJT__p002__g030,11550,2888
nemotron_pgg_match__pid_nemotron_c36692df108d__game_6sSM4xSyZQkaxyHav__p002__g031,10753,2688
nemotron_pgg_match__pid_nemotron_c36692df108d__game_3EQGxadfbmAKaACgZ__p002__g032,10585,2646
nemotron_pgg_match__pid_nemotron_c36692df108d__game_Aj2G7CTuhLZ7Z2SPK__p002__g033,11081,2770
nemotron_pgg_match__pid_nemotron_c36692df108d__game_FAuuG8S2iw8wkGRnA__p002__g034,13418,3354
nemotron_pgg_match__pid_nemotron_c36692df108d__game_SFohXkBYvScM7Y7rC__p002__g035,12546,3136
nemotron_pgg_match__pid_nemotron_c36692df108d__game_5R7YRmti4R5GiJKpi__p002__g036,13779,3445
nemotron_pgg_match__pid_nemotron_c36692df108d__game_6BxRfLcBtXYodAS8h__p002__g037,9727,2432
nemotron_pgg_match__pid_nemotron_c36692df108d__game_7Y6PBvgZNqtriKzaZ__p002__g038,10212,2553
nemotron_pgg_match__pid_nemotron_c36692df108d__game_HmA52oSS75D5Z2W8a__p002__g039,13954,3488
nemotron_pgg_match__pid_nemotron_c36692df108d__game_6pQRuemJv5faRcZft__p002__g040,13900,3475
nemotron_pgg_match__pid_nemotron_81c867ee329d__game_5mhtM66ewYHNxSp4q__p003__g001,7899,1975
nemotron_pgg_match__pid_nemotron_81c867ee329d__game_2TquMDieEiixty8AN__p003__g002,10827,2707
nemotron_pgg_match__pid_nemotron_81c867ee329d__game_65crAkEscRbHNJXbW__p003__g003,7607,1902
nemotron_pgg_match__pid_nemotron_81c867ee329d__game_3EG5RaDj4z7hkT2JD__p003__g004,8240,2060
nemotron_pgg_match__pid_nemotron_81c867ee329d__game_PmcxhmDRj2tN3cECC__p003__g005,19011,4753
nemotron_pgg_match__pid_nemotron_81c867ee329d__game_925LF9k9CXpz8KjQm__p003__g006,24480,6120
nemotron_pgg_match__pid_nemotron_81c867ee329d__game_ASQtYBWx6cGN27KxL__p003__g007,9467,2367
nemotron_pgg_match__pid_nemotron_81c867ee329d__game_DYFJDsdGg8bppBJ7P__p003__g008,10296,2574
nemotron_pgg_match__pid_nemotron_81c867ee329d__game_CbDvrXGkphmfGtH3G__p003__g009,16502,4126
nemotron_pgg_match__pid_nemotron_81c867ee329d__game_FvbM5EM5aB5pcjLpA__p003__g010,13424,3356
nemotron_pgg_match__pid_nemotron_81c867ee329d__game_C5Cd8Yq5dDbdycXKB__p003__g011,11057,2764
nemotron_pgg_match__pid_nemotron_81c867ee329d__game_AyQkFs97hRTki5zWR__p003__g012,12164,3041
nemotron_pgg_match__pid_nemotron_81c867ee329d__game_7oRFMBwqmesGX7t3H__p003__g013,19324,4831
nemotron_pgg_match__pid_nemotron_81c867ee329d__game_fMhhGrfpZH9ign2AK__p003__g014,12974,3244
nemotron_pgg_match__pid_nemotron_81c867ee329d__game_i7C4Y4NiesraiSwwb__p003__g015,11258,2814
nemotron_pgg_match__pid_nemotron_81c867ee329d__game_7tfDsTHHnxsgrhE3d__p003__g016,13651,3413
nemotron_pgg_match__pid_nemotron_81c867ee329d__game_r7Bk7fEwX3HSRrXMZ__p003__g017,8875,2219
nemotron_pgg_match__pid_nemotron_81c867ee329d__game_7FQezekfKk3zctLN8__p003__g018,15030,3758
nemotron_pgg_match__pid_nemotron_81c867ee329d__game_2khRAszouj8vP8ZfP__p003__g019,10402,2600
nemotron_pgg_match__pid_nemotron_81c867ee329d__game_CoHyYysb84APn5gDE__p003__g020,10406,2602
nemotron_pgg_match__pid_nemotron_81c867ee329d__game_2KKC9nMd8nRXfgH5G__p003__g021,11540,2885
nemotron_pgg_match__pid_nemotron_81c867ee329d__game_PrfKWppTZdvPhe4oN__p003__g022,12873,3218
nemotron_pgg_match__pid_nemotron_81c867ee329d__game_6Pxb9DsQpyk22cJNr__p003__g023,8508,2127
nemotron_pgg_match__pid_nemotron_81c867ee329d__game_Fm7uYc98E2b6kcoDE__p003__g024,9349,2337
nemotron_pgg_match__pid_nemotron_81c867ee329d__game_9oyspxPncwXdAkruR__p003__g025,8778,2194
nemotron_pgg_match__pid_nemotron_81c867ee329d__game_2TDnnb4wn9rwy3CYZ__p003__g026,9718,2430
nemotron_pgg_match__pid_nemotron_81c867ee329d__game_7ywewvEuctuz4Rq8j__p003__g027,12141,3035
nemotron_pgg_match__pid_nemotron_81c867ee329d__game_AJ4ikZuWJeJcEXhgZ__p003__g028,11619,2905
nemotron_pgg_match__pid_nemotron_81c867ee329d__game_3v9ji6wNY7sXHe8cM__p003__g029,10875,2719
nemotron_pgg_match__pid_nemotron_81c867ee329d__game_8GneB6qmtDLSnbcJT__p003__g030,9762,2440
nemotron_pgg_match__pid_nemotron_81c867ee329d__game_6sSM4xSyZQkaxyHav__p003__g031,8965,2241
nemotron_pgg_match__pid_nemotron_81c867ee329d__game_3EQGxadfbmAKaACgZ__p003__g032,8797,2199
nemotron_pgg_match__pid_nemotron_81c867ee329d__game_Aj2G7CTuhLZ7Z2SPK__p003__g033,9293,2323
nemotron_pgg_match__pid_nemotron_81c867ee329d__game_FAuuG8S2iw8wkGRnA__p003__g034,11630,2908
nemotron_pgg_match__pid_nemotron_81c867ee329d__game_SFohXkBYvScM7Y7rC__p003__g035,10758,2690
nemotron_pgg_match__pid_nemotron_81c867ee329d__game_5R7YRmti4R5GiJKpi__p003__g036,11991,2998
nemotron_pgg_match__pid_nemotron_81c867ee329d__game_6BxRfLcBtXYodAS8h__p003__g037,7939,1985
nemotron_pgg_match__pid_nemotron_81c867ee329d__game_7Y6PBvgZNqtriKzaZ__p003__g038,8424,2106
nemotron_pgg_match__pid_nemotron_81c867ee329d__game_HmA52oSS75D5Z2W8a__p003__g039,12166,3042
nemotron_pgg_match__pid_nemotron_81c867ee329d__game_6pQRuemJv5faRcZft__p003__g040,12112,3028
nemotron_pgg_match__pid_nemotron_8d1dc8f0a145__game_5mhtM66ewYHNxSp4q__p004__g001,8633,2158
nemotron_pgg_match__pid_nemotron_8d1dc8f0a145__game_2TquMDieEiixty8AN__p004__g002,11561,2890
nemotron_pgg_match__pid_nemotron_8d1dc8f0a145__game_65crAkEscRbHNJXbW__p004__g003,8341,2085
nemotron_pgg_match__pid_nemotron_8d1dc8f0a145__game_3EG5RaDj4z7hkT2JD__p004__g004,8974,2244
nemotron_pgg_match__pid_nemotron_8d1dc8f0a145__game_PmcxhmDRj2tN3cECC__p004__g005,19745,4936
nemotron_pgg_match__pid_nemotron_8d1dc8f0a145__game_925LF9k9CXpz8KjQm__p004__g006,25214,6304
nemotron_pgg_match__pid_nemotron_8d1dc8f0a145__game_ASQtYBWx6cGN27KxL__p004__g007,10201,2550
nemotron_pgg_match__pid_nemotron_8d1dc8f0a145__game_DYFJDsdGg8bppBJ7P__p004__g008,11030,2758
nemotron_pgg_match__pid_nemotron_8d1dc8f0a145__game_CbDvrXGkphmfGtH3G__p004__g009,17236,4309
nemotron_pgg_match__pid_nemotron_8d1dc8f0a145__game_FvbM5EM5aB5pcjLpA__p004__g010,14158,3540
nemotron_pgg_match__pid_nemotron_8d1dc8f0a145__game_C5Cd8Yq5dDbdycXKB__p004__g011,11791,2948
nemotron_pgg_match__pid_nemotron_8d1dc8f0a145__game_AyQkFs97hRTki5zWR__p004__g012,12898,3224
nemotron_pgg_match__pid_nemotron_8d1dc8f0a145__game_7oRFMBwqmesGX7t3H__p004__g013,20058,5014
nemotron_pgg_match__pid_nemotron_8d1dc8f0a145__game_fMhhGrfpZH9ign2AK__p004__g014,13708,3427
nemotron_pgg_match__pid_nemotron_8d1dc8f0a145__game_i7C4Y4NiesraiSwwb__p004__g015,11992,2998
nemotron_pgg_match__pid_nemotron_8d1dc8f0a145__game_7tfDsTHHnxsgrhE3d__p004__g016,14385,3596
nemotron_pgg_match__pid_nemotron_8d1dc8f0a145__game_r7Bk7fEwX3HSRrXMZ__p004__g017,9609,2402
nemotron_pgg_match__pid_nemotron_8d1dc8f0a145__game_7FQezekfKk3zctLN8__p004__g018,15764,3941
nemotron_pgg_match__pid_nemotron_8d1dc8f0a145__game_2khRAszouj8vP8ZfP__p004__g019,11136,2784
nemotron_pgg_match__pid_nemotron_8d1dc8f0a145__game_CoHyYysb84APn5gDE__p004__g020,11140,2785
nemotron_pgg_match__pid_nemotron_8d1dc8f0a145__game_2KKC9nMd8nRXfgH5G__p004__g021,12274,3068
nemotron_pgg_match__pid_nemotron_8d1dc8f0a145__game_PrfKWppTZdvPhe4oN__p004__g022,13607,3402
nemotron_pgg_match__pid_nemotron_8d1dc8f0a145__game_6Pxb9DsQpyk22cJNr__p004__g023,9242,2310
nemotron_pgg_match__pid_nemotron_8d1dc8f0a145__game_Fm7uYc98E2b6kcoDE__p004__g024,10083,2521
nemotron_pgg_match__pid_nemotron_8d1dc8f0a145__game_9oyspxPncwXdAkruR__p004__g025,9512,2378
nemotron_pgg_match__pid_nemotron_8d1dc8f0a145__game_2TDnnb4wn9rwy3CYZ__p004__g026,10452,2613
nemotron_pgg_match__pid_nemotron_8d1dc8f0a145__game_7ywewvEuctuz4Rq8j__p004__g027,12875,3219
nemotron_pgg_match__pid_nemotron_8d1dc8f0a145__game_AJ4ikZuWJeJcEXhgZ__p004__g028,12353,3088
nemotron_pgg_match__pid_nemotron_8d1dc8f0a145__game_3v9ji6wNY7sXHe8cM__p004__g029,11609,2902
nemotron_pgg_match__pid_nemotron_8d1dc8f0a145__game_8GneB6qmtDLSnbcJT__p004__g030,10496,2624
nemotron_pgg_match__pid_nemotron_8d1dc8f0a145__game_6sSM4xSyZQkaxyHav__p004__g031,9699,2425
nemotron_pgg_match__pid_nemotron_8d1dc8f0a145__game_3EQGxadfbmAKaACgZ__p004__g032,9531,2383
nemotron_pgg_match__pid_nemotron_8d1dc8f0a145__game_Aj2G7CTuhLZ7Z2SPK__p004__g033,10027,2507
nemotron_pgg_match__pid_nemotron_8d1dc8f0a145__game_FAuuG8S2iw8wkGRnA__p004__g034,12364,3091
nemotron_pgg_match__pid_nemotron_8d1dc8f0a145__game_SFohXkBYvScM7Y7rC__p004__g035,11492,2873
nemotron_pgg_match__pid_nemotron_8d1dc8f0a145__game_5R7YRmti4R5GiJKpi__p004__g036,12725,3181
nemotron_pgg_match__pid_nemotron_8d1dc8f0a145__game_6BxRfLcBtXYodAS8h__p004__g037,8673,2168
nemotron_pgg_match__pid_nemotron_8d1dc8f0a145__game_7Y6PBvgZNqtriKzaZ__p004__g038,9158,2290
nemotron_pgg_match__pid_nemotron_8d1dc8f0a145__game_HmA52oSS75D5Z2W8a__p004__g039,12900,3225
nemotron_pgg_match__pid_nemotron_8d1dc8f0a145__game_6pQRuemJv5faRcZft__p004__g040,12846,3212
nemotron_pgg_match__pid_nemotron_2dbb30158a18__game_5mhtM66ewYHNxSp4q__p005__g001,8094,2024
nemotron_pgg_match__pid_nemotron_2dbb30158a18__game_2TquMDieEiixty8AN__p005__g002,11022,2756
nemotron_pgg_match__pid_nemotron_2dbb30158a18__game_65crAkEscRbHNJXbW__p005__g003,7802,1950
nemotron_pgg_match__pid_nemotron_2dbb30158a18__game_3EG5RaDj4z7hkT2JD__p005__g004,8435,2109
nemotron_pgg_match__pid_nemotron_2dbb30158a18__game_PmcxhmDRj2tN3cECC__p005__g005,19206,4802
nemotron_pgg_match__pid_nemotron_2dbb30158a18__game_925LF9k9CXpz8KjQm__p005__g006,24675,6169
nemotron_pgg_match__pid_nemotron_2dbb30158a18__game_ASQtYBWx6cGN27KxL__p005__g007,9662,2416
nemotron_pgg_match__pid_nemotron_2dbb30158a18__game_DYFJDsdGg8bppBJ7P__p005__g008,10491,2623
nemotron_pgg_match__pid_nemotron_2dbb30158a18__game_CbDvrXGkphmfGtH3G__p005__g009,16697,4174
nemotron_pgg_match__pid_nemotron_2dbb30158a18__game_FvbM5EM5aB5pcjLpA__p005__g010,13619,3405
nemotron_pgg_match__pid_nemotron_2dbb30158a18__game_C5Cd8Yq5dDbdycXKB__p005__g011,11252,2813
nemotron_pgg_match__pid_nemotron_2dbb30158a18__game_AyQkFs97hRTki5zWR__p005__g012,12359,3090
nemotron_pgg_match__pid_nemotron_2dbb30158a18__game_7oRFMBwqmesGX7t3H__p005__g013,19519,4880
nemotron_pgg_match__pid_nemotron_2dbb30158a18__game_fMhhGrfpZH9ign2AK__p005__g014,13169,3292
nemotron_pgg_match__pid_nemotron_2dbb30158a18__game_i7C4Y4NiesraiSwwb__p005__g015,11453,2863
nemotron_pgg_match__pid_nemotron_2dbb30158a18__game_7tfDsTHHnxsgrhE3d__p005__g016,13846,3462
nemotron_pgg_match__pid_nemotron_2dbb30158a18__game_r7Bk7fEwX3HSRrXMZ__p005__g017,9070,2268
nemotron_pgg_match__pid_nemotron_2dbb30158a18__game_7FQezekfKk3zctLN8__p005__g018,15225,3806
nemotron_pgg_match__pid_nemotron_2dbb30158a18__game_2khRAszouj8vP8ZfP__p005__g019,10597,2649
nemotron_pgg_match__pid_nemotron_2dbb30158a18__game_CoHyYysb84APn5gDE__p005__g020,10601,2650
nemotron_pgg_match__pid_nemotron_2dbb30158a18__game_2KKC9nMd8nRXfgH5G__p005__g021,11735,2934
nemotron_pgg_match__pid_nemotron_2dbb30158a18__game_PrfKWppTZdvPhe4oN__p005__g022,13068,3267
nemotron_pgg_match__pid_nemotron_2dbb30158a18__game_6Pxb9DsQpyk22cJNr__p005__g023,8703,2176
nemotron_pgg_match__pid_nemotron_2dbb30158a18__game_Fm7uYc98E2b6kcoDE__p005__g024,9544,2386
nemotron_pgg_match__pid_nemotron_2dbb30158a18__game_9oyspxPncwXdAkruR__p005__g025,8973,2243
nemotron_pgg_match__pid_nemotron_2dbb30158a18__game_2TDnnb4wn9rwy3CYZ__p005__g026,9913,2478
nemotron_pgg_match__pid_nemotron_2dbb30158a18__game_7ywewvEuctuz4Rq8j__p005__g027,12336,3084
nemotron_pgg_match__pid_nemotron_2dbb30158a18__game_AJ4ikZuWJeJcEXhgZ__p005__g028,11814,2954
nemotron_pgg_match__pid_nemotron_2dbb30158a18__game_3v9ji6wNY7sXHe8cM__p005__g029,11070,2768
nemotron_pgg_match__pid_nemotron_2dbb30158a18__game_8GneB6qmtDLSnbcJT__p005__g030,9957,2489
nemotron_pgg_match__pid_nemotron_2dbb30158a18__game_6sSM4xSyZQkaxyHav__p005__g031,9160,2290
nemotron_pgg_match__pid_nemotron_2dbb30158a18__game_3EQGxadfbmAKaACgZ__p005__g032,8992,2248
nemotron_pgg_match__pid_nemotron_2dbb30158a18__game_Aj2G7CTuhLZ7Z2SPK__p005__g033,9488,2372
nemotron_pgg_match__pid_nemotron_2dbb30158a18__game_FAuuG8S2iw8wkGRnA__p005__g034,11825,2956
nemotron_pgg_match__pid_nemotron_2dbb30158a18__game_SFohXkBYvScM7Y7rC__p005__g035,10953,2738
nemotron_pgg_match__pid_nemotron_2dbb30158a18__game_5R7YRmti4R5GiJKpi__p005__g036,12186,3046
nemotron_pgg_match__pid_nemotron_2dbb30158a18__game_6BxRfLcBtXYodAS8h__p005__g037,8134,2034
nemotron_pgg_match__pid_nemotron_2dbb30158a18__game_7Y6PBvgZNqtriKzaZ__p005__g038,8619,2155
nemotron_pgg_match__pid_nemotron_2dbb30158a18__game_HmA52oSS75D5Z2W8a__p005__g039,12361,3090
nemotron_pgg_match__pid_nemotron_2dbb30158a18__game_6pQRuemJv5faRcZft__p005__g040,12307,3077
nemotron_pgg_match__pid_nemotron_c4269d7a0bd8__game_5mhtM66ewYHNxSp4q__p006__g001,8671,2168
nemotron_pgg_match__pid_nemotron_c4269d7a0bd8__game_2TquMDieEiixty8AN__p006__g002,11599,2900
nemotron_pgg_match__pid_nemotron_c4269d7a0bd8__game_65crAkEscRbHNJXbW__p006__g003,8379,2095
nemotron_pgg_match__pid_nemotron_c4269d7a0bd8__game_3EG5RaDj4z7hkT2JD__p006__g004,9012,2253
nemotron_pgg_match__pid_nemotron_c4269d7a0bd8__game_PmcxhmDRj2tN3cECC__p006__g005,19783,4946
nemotron_pgg_match__pid_nemotron_c4269d7a0bd8__game_925LF9k9CXpz8KjQm__p006__g006,25252,6313
nemotron_pgg_match__pid_nemotron_c4269d7a0bd8__game_ASQtYBWx6cGN27KxL__p006__g007,10239,2560
nemotron_pgg_match__pid_nemotron_c4269d7a0bd8__game_DYFJDsdGg8bppBJ7P__p006__g008,11068,2767
nemotron_pgg_match__pid_nemotron_c4269d7a0bd8__game_CbDvrXGkphmfGtH3G__p006__g009,17274,4318
nemotron_pgg_match__pid_nemotron_c4269d7a0bd8__game_FvbM5EM5aB5pcjLpA__p006__g010,14196,3549
nemotron_pgg_match__pid_nemotron_c4269d7a0bd8__game_C5Cd8Yq5dDbdycXKB__p006__g011,11829,2957
nemotron_pgg_match__pid_nemotron_c4269d7a0bd8__game_AyQkFs97hRTki5zWR__p006__g012,12936,3234
nemotron_pgg_match__pid_nemotron_c4269d7a0bd8__game_7oRFMBwqmesGX7t3H__p006__g013,20096,5024
nemotron_pgg_match__pid_nemotron_c4269d7a0bd8__game_fMhhGrfpZH9ign2AK__p006__g014,13746,3436
nemotron_pgg_match__pid_nemotron_c4269d7a0bd8__game_i7C4Y4NiesraiSwwb__p006__g015,12030,3008
nemotron_pgg_match__pid_nemotron_c4269d7a0bd8__game_7tfDsTHHnxsgrhE3d__p006__g016,14423,3606
nemotron_pgg_match__pid_nemotron_c4269d7a0bd8__game_r7Bk7fEwX3HSRrXMZ__p006__g017,9647,2412
nemotron_pgg_match__pid_nemotron_c4269d7a0bd8__game_7FQezekfKk3zctLN8__p006__g018,15802,3950
nemotron_pgg_match__pid_nemotron_c4269d7a0bd8__game_2khRAszouj8vP8ZfP__p006__g019,11174,2794
nemotron_pgg_match__pid_nemotron_c4269d7a0bd8__game_CoHyYysb84APn5gDE__p006__g020,11178,2794
nemotron_pgg_match__pid_nemotron_c4269d7a0bd8__game_2KKC9nMd8nRXfgH5G__p006__g021,12312,3078
nemotron_pgg_match__pid_nemotron_c4269d7a0bd8__game_PrfKWppTZdvPhe4oN__p006__g022,13645,3411
nemotron_pgg_match__pid_nemotron_c4269d7a0bd8__game_6Pxb9DsQpyk22cJNr__p006__g023,9280,2320
nemotron_pgg_match__pid_nemotron_c4269d7a0bd8__game_Fm7uYc98E2b6kcoDE__p006__g024,10121,2530
nemotron_pgg_match__pid_nemotron_c4269d7a0bd8__game_9oyspxPncwXdAkruR__p006__g025,9550,2388
nemotron_pgg_match__pid_nemotron_c4269d7a0bd8__game_2TDnnb4wn9rwy3CYZ__p006__g026,10490,2622
nemotron_pgg_match__pid_nemotron_c4269d7a0bd8__game_7ywewvEuctuz4Rq8j__p006__g027,12913,3228
nemotron_pgg_match__pid_nemotron_c4269d7a0bd8__game_AJ4ikZuWJeJcEXhgZ__p006__g028,12391,3098
nemotron_pgg_match__pid_nemotron_c4269d7a0bd8__game_3v9ji6wNY7sXHe8cM__p006__g029,11647,2912
nemotron_pgg_match__pid_nemotron_c4269d7a0bd8__game_8GneB6qmtDLSnbcJT__p006__g030,10534,2634
nemotron_pgg_match__pid_nemotron_c4269d7a0bd8__game_6sSM4xSyZQkaxyHav__p006__g031,9737,2434
nemotron_pgg_match__pid_nemotron_c4269d7a0bd8__game_3EQGxadfbmAKaACgZ__p006__g032,9569,2392
nemotron_pgg_match__pid_nemotron_c4269d7a0bd8__game_Aj2G7CTuhLZ7Z2SPK__p006__g033,10065,2516
