question_id,block_name,question_type,question_text_full,options_json,rows_json,csv_columns_json
QID161,Outcome bias - success ,MC,"A 55-year-old man had a heart condition. He had to stop working because of chest pain. He enjoyed his work and did not want to stop. His pain also interfered with other things, such as travel and recreation. A type of bypass operation would relieve his pain and increase his life expectancy from age 65 to age 70. However, 8% of the people who have this operation die from the operation itself. His physician decided to go ahead with the operation. The operation succeeded. Evaluate the physician's decision to go ahead with the operation.","[""Incorrect, a very bad decision"", ""Incorrect, all things considered"", ""Incorrect, but not unreasonable"", ""The decision and its opposite are equally good"", ""Correct, but the opposite would be reasonable too"", ""Correct, all things considered"", ""Clearly correct, an excellent decision""]",[],"[""QID161""]"
QID198,Probability matching vs. maximizing - Problem 1,Matrix,"Consider the following hypothetical situation: A deck with 10 cards is randomly shuffled 10 separate times. The 10 cards are composed of 7 cards with the number “1” on the down side and 3 cards with the number “2” on the down side. Each time the 10 cards are reshuffled, your task is to predict the number on the down side of the top card. Imagine that you will receive $100 for each downside number you correctly predict, and that you want to earn as much money as possible. What would you predict after ...",[],"[""shuffle #1"", ""shuffle #2"", ""shuffle #3"", ""shuffle #4"", ""shuffle #5"", ""shuffle #6"", ""shuffle #7"", ""shuffle #8"", ""shuffle #9"", ""shuffle #10""]","[""QID198_1"", ""QID198_2"", ""QID198_3"", ""QID198_4"", ""QID198_5"", ""QID198_6"", ""QID198_7"", ""QID198_8"", ""QID198_9"", ""QID198_10""]"
QID8,Product Preferences - Pricing,DB,"You will now be asked a series of 40 questions. In each question, you will given information about a product that you may or may not decide to purchase in a store. There is no right or wrong answer. Please answer truthfully according to your preferences.",[],[],[]
QID9_1,Product Preferences - Pricing,MC,"Please consider the following product category: Dairy Products. Suppose you are in a grocery store, and you see the following product in that category: Land O Lakes Salted Stick Butter, 16 oz, 4 Sticks. The product is priced at: $7.39. Would you or would you not purchase this product?","[""Yes, I would purchase the product"", ""No, I would not purchase the product""]",[],"[""QID9_1""]"
QID9_10,Product Preferences - Pricing,MC,"Please consider the following product category: Lunchmeat - Sliced - Refrigerated. Suppose you are in a grocery store, and you see the following product in that category: Oscar Mayer Chopped Ham & Water product Deli Lunch Meat, 16 Oz Package. The product is priced at: $0.87. Would you or would you not purchase this product?","[""Yes, I would purchase the product"", ""No, I would not purchase the product""]",[],"[""QID9_10""]"
QID9_11,Product Preferences - Pricing,MC,"Please consider the following product category: Refrigerated Entrees. Suppose you are in a grocery store, and you see the following product in that category: John Soules Foods Chicken Breast Fajita Strips, Refrigerated, 16oz, 18g Protein per 3oz Serving Size. The product is priced at: $7.18. Would you or would you not purchase this product?","[""Yes, I would purchase the product"", ""No, I would not purchase the product""]",[],"[""QID9_11""]"
QID9_12,Product Preferences - Pricing,MC,"Please consider the following product category: Beer. Suppose you are in a grocery store, and you see the following product in that category: Stella Artois Lager, 12 Pack, 11.2 fl oz Glass Bottles, 5% ABV, Domestic Beer. The product is priced at: $15.73. Would you or would you not purchase this product?","[""Yes, I would purchase the product"", ""No, I would not purchase the product""]",[],"[""QID9_12""]"
QID9_13,Product Preferences - Pricing,MC,"Please consider the following product category: Cereal - Ready to Eat. Suppose you are in a grocery store, and you see the following product in that category: Cinnamon Toast Crunch Breakfast Cereal, Crispy Cinnamon Cereal, Family Size, 18.8 oz. The product is priced at: $9.86. Would you or would you not purchase this product?","[""Yes, I would purchase the product"", ""No, I would not purchase the product""]",[],"[""QID9_13""]"
QID9_14,Product Preferences - Pricing,MC,"Please consider the following product category: Cleaning Supplies. Suppose you are in a grocery store, and you see the following product in that category: ARM & HAMMER Pure Baking Soda, For Baking, Cleaning & Deodorizing, 1 lb Box. The product is priced at: $1.85. Would you or would you not purchase this product?","[""Yes, I would purchase the product"", ""No, I would not purchase the product""]",[],"[""QID9_14""]"
QID9_15,Product Preferences - Pricing,MC,"Please consider the following product category: Frozen Novelties. Suppose you are in a grocery store, and you see the following product in that category: Pop-Ice Assorted Fruit Freezer Ice Pops, Gluten-Free Snack, 1.5 oz, 80 Count Fruit Pops. The product is priced at: $7.40. Would you or would you not purchase this product?","[""Yes, I would purchase the product"", ""No, I would not purchase the product""]",[],"[""QID9_15""]"
QID9_16,Product Preferences - Pricing,MC,"Please consider the following product category: Soft Drinks - Carbonated. Suppose you are in a grocery store, and you see the following product in that category: Coca-Cola Soda Pop, 12 fl oz, 12 Pack Cans. The product is priced at: $11.56. Would you or would you not purchase this product?","[""Yes, I would purchase the product"", ""No, I would not purchase the product""]",[],"[""QID9_16""]"
QID9_17,Product Preferences - Pricing,MC,"Please consider the following product category: Toilet Tissue. Suppose you are in a grocery store, and you see the following product in that category: Angel Soft Toilet Paper, 9 Mega Rolls, Soft and Strong Toilet Tissue. The product is priced at: $0.00. Would you or would you not purchase this product?","[""Yes, I would purchase the product"", ""No, I would not purchase the product""]",[],"[""QID9_17""]"
QID9_18,Product Preferences - Pricing,MC,"Please consider the following product category: Baby Milk and Milk Flavoring. Suppose you are in a grocery store, and you see the following product in that category: Horizon Organic Shelf-Stable Whole Milk Boxes, 8 oz., 12 Pack. The product is priced at: $19.57. Would you or would you not purchase this product?","[""Yes, I would purchase the product"", ""No, I would not purchase the product""]",[],"[""QID9_18""]"
QID9_19,Product Preferences - Pricing,MC,"Please consider the following product category: Ground and Whole Bean Coffee. Suppose you are in a grocery store, and you see the following product in that category: Folgers Classic Roast Ground Coffee, Medium Roast, 40.3-Ounce Canister. The product is priced at: $15.89. Would you or would you not purchase this product?","[""Yes, I would purchase the product"", ""No, I would not purchase the product""]",[],"[""QID9_19""]"
QID9_2,Product Preferences - Pricing,MC,"Please consider the following product category: Pain Remedies - Headache. Suppose you are in a grocery store, and you see the following product in that category: Tylenol Extra Strength Caplets with 500 mg Acetaminophen, 100 Ct. The product is priced at: $2.19. Would you or would you not purchase this product?","[""Yes, I would purchase the product"", ""No, I would not purchase the product""]",[],"[""QID9_2""]"
QID9_20,Product Preferences - Pricing,MC,"Please consider the following product category: Frozen Foods. Suppose you are in a grocery store, and you see the following product in that category: Great Value All Natural Chicken Wing Sections, 4 lb (Frozen). The product is priced at: $5.19. Would you or would you not purchase this product?","[""Yes, I would purchase the product"", ""No, I would not purchase the product""]",[],"[""QID9_20""]"
QID9_21,Product Preferences - Pricing,MC,"Please consider the following product category: Yogurt - Refrigerated. Suppose you are in a grocery store, and you see the following product in that category: Chobani Non-Fat Greek Yogurt, Vanilla Blended 32 oz, Plastic. The product is priced at: $0.00. Would you or would you not purchase this product?","[""Yes, I would purchase the product"", ""No, I would not purchase the product""]",[],"[""QID9_21""]"
QID9_22,Product Preferences - Pricing,MC,"Please consider the following product category: Dairy - Milk - Refrigerated. Suppose you are in a grocery store, and you see the following product in that category: Great Value Milk Whole Vitamin D Gallon. The product is priced at: $5.49. Would you or would you not purchase this product?","[""Yes, I would purchase the product"", ""No, I would not purchase the product""]",[],"[""QID9_22""]"
QID9_23,Product Preferences - Pricing,MC,"Please consider the following product category: Soft Drinks - Low Calorie. Suppose you are in a grocery store, and you see the following product in that category: Coca-Cola Zero Sugar Soda Pop, 16.9 fl oz, 6 Pack Cans. The product is priced at: $9.32. Would you or would you not purchase this product?","[""Yes, I would purchase the product"", ""No, I would not purchase the product""]",[],"[""QID9_23""]"
QID9_24,Product Preferences - Pricing,MC,"Please consider the following product category: Paper Towels. Suppose you are in a grocery store, and you see the following product in that category: Bounty Select-a-Size Paper Towels, 12 Double Rolls, White. The product is priced at: $8.87. Would you or would you not purchase this product?","[""Yes, I would purchase the product"", ""No, I would not purchase the product""]",[],"[""QID9_24""]"
QID9_25,Product Preferences - Pricing,MC,"Please consider the following product category: Candy - Non-Chocolate. Suppose you are in a grocery store, and you see the following product in that category: HARIBO Goldbears Original Gummy Bears, 28.8oz Stand Up Bag. The product is priced at: $12.96. Would you or would you not purchase this product?","[""Yes, I would purchase the product"", ""No, I would not purchase the product""]",[],"[""QID9_25""]"
QID9_26,Product Preferences - Pricing,MC,"Please consider the following product category: Bakery - Fresh Cakes. Suppose you are in a grocery store, and you see the following product in that category: Little Debbie Zebra Cakes, 13 oz. The product is priced at: $5.36. Would you or would you not purchase this product?","[""Yes, I would purchase the product"", ""No, I would not purchase the product""]",[],"[""QID9_26""]"
QID9_27,Product Preferences - Pricing,MC,"Please consider the following product category: Fruit Drinks. Suppose you are in a grocery store, and you see the following product in that category: Kool Aid Jammers Variety Pack with Tropical Punch, Grape & Cherry Kids Drink 0% Juice Box Pouches, 30 Ct Box, 6 fl oz Pouches. The product is priced at: $8.72. Would you or would you not purchase this product?","[""Yes, I would purchase the product"", ""No, I would not purchase the product""]",[],"[""QID9_27""]"
QID9_28,Product Preferences - Pricing,MC,"Please consider the following product category: Snacks - Tortilla Chips. Suppose you are in a grocery store, and you see the following product in that category: Doritos Nacho Cheese Tortilla Snack Chips, Party Size, 14.5 oz Bag. The product is priced at: $11.88. Would you or would you not purchase this product?","[""Yes, I would purchase the product"", ""No, I would not purchase the product""]",[],"[""QID9_28""]"
QID9_29,Product Preferences - Pricing,MC,"Please consider the following product category: Refrigerated Bacon. Suppose you are in a grocery store, and you see the following product in that category: Oscar Mayer Fully Cooked Original Bacon, 2.52 oz Box. The product is priced at: $4.27. Would you or would you not purchase this product?","[""Yes, I would purchase the product"", ""No, I would not purchase the product""]",[],"[""QID9_29""]"
QID9_3,Product Preferences - Pricing,MC,"Please consider the following product category: Cat Food - Wet Type. Suppose you are in a grocery store, and you see the following product in that category: Purina Fancy Feast Chicken Feast Classic Grain Free Wet Cat Food Pate - 3 oz. Can. The product is priced at: $1.58. Would you or would you not purchase this product?","[""Yes, I would purchase the product"", ""No, I would not purchase the product""]",[],"[""QID9_3""]"
QID9_30,Product Preferences - Pricing,MC,"Please consider the following product category: Soup. Suppose you are in a grocery store, and you see the following product in that category: Maruchan Ramen Noodle Chicken Flavor Soup, 3 Oz, 12 Count Shelf Stable Package. The product is priced at: $17.95. Would you or would you not purchase this product?","[""Yes, I would purchase the product"", ""No, I would not purchase the product""]",[],"[""QID9_30""]"
QID9_31,Product Preferences - Pricing,MC,"Please consider the following product category: Light Beer (Low Calorie/Alcohol). Suppose you are in a grocery store, and you see the following product in that category: Bud Light Beer, 24 Pack, 12 fl oz Aluminum Cans, 4.2% ABV, Domestic Lager. The product is priced at: $16.78. Would you or would you not purchase this product?","[""Yes, I would purchase the product"", ""No, I would not purchase the product""]",[],"[""QID9_31""]"
QID9_32,Product Preferences - Pricing,MC,"Please consider the following product category: Candy - Chocolate. Suppose you are in a grocery store, and you see the following product in that category: Hershey's Milk Chocolate Candy, Bars 1.55 oz, 6 Count. The product is priced at: $11.66. Would you or would you not purchase this product?","[""Yes, I would purchase the product"", ""No, I would not purchase the product""]",[],"[""QID9_32""]"
QID9_33,Product Preferences - Pricing,MC,"Please consider the following product category: Batteries. Suppose you are in a grocery store, and you see the following product in that category: Duracell Coppertop AA Battery, Long Lasting Double A Batteries, 16 Pack. The product is priced at: $25.55. Would you or would you not purchase this product?","[""Yes, I would purchase the product"", ""No, I would not purchase the product""]",[],"[""QID9_33""]"
QID9_34,Product Preferences - Pricing,MC,"Please consider the following product category: Fresh Eggs. Suppose you are in a grocery store, and you see the following product in that category: Eggland's Best Classic Extra Large White Eggs, 12 count. The product is priced at: $3.82. Would you or would you not purchase this product?","[""Yes, I would purchase the product"", ""No, I would not purchase the product""]",[],"[""QID9_34""]"
QID9_35,Product Preferences - Pricing,MC,"Please consider the following product category: Fruit Juice. Suppose you are in a grocery store, and you see the following product in that category: Capri Sun Variety Pack with Fruit Punch, Strawberry Kiwi & Pacific Cooler Juice Box Pouches, 30 ct Box, 6 fl oz Pouches. The product is priced at: $11.32. Would you or would you not purchase this product?","[""Yes, I would purchase the product"", ""No, I would not purchase the product""]",[],"[""QID9_35""]"
QID9_36,Product Preferences - Pricing,MC,"Please consider the following product category: Cold Remedies - Adult. Suppose you are in a grocery store, and you see the following product in that category: Equate Value Size Honey Lemon Cough Drops with Menthol, 160 Count. The product is priced at: $7.49. Would you or would you not purchase this product?","[""Yes, I would purchase the product"", ""No, I would not purchase the product""]",[],"[""QID9_36""]"
QID9_37,Product Preferences - Pricing,MC,"Please consider the following product category: Cookies. Suppose you are in a grocery store, and you see the following product in that category: Little Debbie Oatmeal Creme Pies, 12 ct, 16.2 oz. The product is priced at: $3.75. Would you or would you not purchase this product?","[""Yes, I would purchase the product"", ""No, I would not purchase the product""]",[],"[""QID9_37""]"
QID9_38,Product Preferences - Pricing,MC,"Please consider the following product category: Frankfurters - Refrigerated. Suppose you are in a grocery store, and you see the following product in that category: Oscar Mayer Classic Uncured Beef Franks Hot Dogs, 10 ct Pack. The product is priced at: $5.52. Would you or would you not purchase this product?","[""Yes, I would purchase the product"", ""No, I would not purchase the product""]",[],"[""QID9_38""]"
QID9_39,Product Preferences - Pricing,MC,"Please consider the following product category: Ice Cream. Suppose you are in a grocery store, and you see the following product in that category: Haagen Dazs Coffee Ice Cream, Gluten Free, Kosher, 14.0 oz. The product is priced at: $3.34. Would you or would you not purchase this product?","[""Yes, I would purchase the product"", ""No, I would not purchase the product""]",[],"[""QID9_39""]"
QID9_4,Product Preferences - Pricing,MC,"Please consider the following product category: Frozen Italian Entrees. Suppose you are in a grocery store, and you see the following product in that category: Smart Ones Three Cheese Ziti Marinara Frozen Meal, 9 Oz Box. The product is priced at: $2.26. Would you or would you not purchase this product?","[""Yes, I would purchase the product"", ""No, I would not purchase the product""]",[],"[""QID9_4""]"
QID9_40,Product Preferences - Pricing,MC,"Please consider the following product category: Detergents - Heavy Duty - Liquid. Suppose you are in a grocery store, and you see the following product in that category: Purex Liquid Laundry Detergent Plus OXI, Stain Defense Technology, 128 Fluid Ounces, 85 Wash Loads. The product is priced at: $5.98. Would you or would you not purchase this product?","[""Yes, I would purchase the product"", ""No, I would not purchase the product""]",[],"[""QID9_40""]"
QID9_5,Product Preferences - Pricing,MC,"Please consider the following product category: Refrigerated Deli Meats. Suppose you are in a grocery store, and you see the following product in that category: Goya Cooked Ham 16 oz. The product is priced at: $53.98. Would you or would you not purchase this product?","[""Yes, I would purchase the product"", ""No, I would not purchase the product""]",[],"[""QID9_5""]"
QID9_6,Product Preferences - Pricing,MC,"Please consider the following product category: Snacks - Potato Chips. Suppose you are in a grocery store, and you see the following product in that category: Lay's Classic Potato Snack Chips, Party Size, 13 oz Bag. The product is priced at: $7.62. Would you or would you not purchase this product?","[""Yes, I would purchase the product"", ""No, I would not purchase the product""]",[],"[""QID9_6""]"
QID9_7,Product Preferences - Pricing,MC,"Please consider the following product category: Bottled Water. Suppose you are in a grocery store, and you see the following product in that category: OZARKA Brand 100% Natural Spring Water, 16.9-ounce plastic bottles (Pack of 35). The product is priced at: $11.98. Would you or would you not purchase this product?","[""Yes, I would purchase the product"", ""No, I would not purchase the product""]",[],"[""QID9_7""]"
QID9_8,Product Preferences - Pricing,MC,"Please consider the following product category: Pet Supplies - Dog Food. Suppose you are in a grocery store, and you see the following product in that category: Purina Dog Chow Complete, Dry Dog Food for Adult Dogs High Protein, Real Chicken, 44 lb Bag. The product is priced at: $11.67. Would you or would you not purchase this product?","[""Yes, I would purchase the product"", ""No, I would not purchase the product""]",[],"[""QID9_8""]"
QID9_9,Product Preferences - Pricing,MC,"Please consider the following product category: Fresh Fruit. Suppose you are in a grocery store, and you see the following product in that category: Fresh Raspberries, 12 oz Container. The product is priced at: $0.95. Would you or would you not purchase this product?","[""Yes, I would purchase the product"", ""No, I would not purchase the product""]",[],"[""QID9_9""]"
QID176,Proportion dominance 1C,MC,"Imagine that highway safety experts have determined that a substantial number of people are at risk of dying in a type of automobile fire. A requirement that every car have a built-in fire extinguisher (estimated cost, $300) would save 95% of the 150 people who would otherwise die every year in this type of automobile fire. Rate the following statement about yourself: I would be supportive of this requirement.","[""Disagree strongly"", ""Disagree a little"", ""Neither agree nor disagree"", ""Agree a little"", ""Agree strongly""]",[],"[""QID176""]"
QID179,Proportion dominance 2C,MC,"You have recently graduated from university, obtained a good job, and are buying a new car. A newly designed seatbelt has just become available that would save the lives of 95% of the 500 drivers a year who are involved in a type of head-on-collision. (Approximately half of these fatalities involve drivers who were not at fault.) The newly designed seatbelt is not yet standard on most car models. However, it is available as a $500 option for the car model that you are ordering. How likely is it that you would order your new car with this optional seatbelt?","[""very unlikely"", ""unlikely"", ""somewhat unlikely"", ""somewhat likely"", ""likely"", ""very likely""]",[],"[""QID179""]"
QID182,Sunk cost - yes,TE,"Imagine that you just paid $50 for a Coffee Connection discount card that allows you to buy coffee for 50% off the regular price of $3.00 (i.e., you pay $1.50). Soon after you purchased the Coffee Connection discount card, Java Coffee, a competitor, opened a new store that sells coffee for just $2.00 per cup. Although the Coffee Connection store is ten minutes away by car, Java Coffee is only about 1/2 block from your apartment. Assuming that you only buy coffee from these two places and that you like the coffee sold in both places the same, how many of your next 20 coffee purchases would be from Java Coffee? Enter a number between 0 and 20.",[],[],"[""QID182_TEXT""]"
QID190,WTA/WTP Thaler problem - WTA certainty,MC,"Imagine that a group of research scientists in the School of Medicine are running a laboratory experiment on a vaccine for a rare and fatal virus. The possibility of actually contracting the disease from the vaccine is 1 in 1,000, but once you have the disease there is no known cure. The scientists are seeking volunteers to test the vaccine on. What is the lowest amount that you would have to be paid before you would take part in this experiment?","[""$10"", ""$100"", ""$1,000"", ""$10,000"", ""$50,000"", ""$100,000"", ""$250,000"", ""$500,000"", ""$1,000,000"", ""$5,000,000 or more""]",[],"[""QID190""]"
