question_ref,question_id,block_name,question_type,family,csv_columns_json,n_csv_columns,profile_section,profile_subsection,retention_mode,derived_targets,readable_card_priority,question_text_short,notes
Anchoring - redwood low::QID167,QID167,Anchoring - redwood low,MC,heuristics_biases,"[""QID167""]",1,observed_in_twin,heuristics_and_biases,raw_plus_block_summary,decision_style;derived_dimensions.decision_style;derived_dimensions.consumer_style,medium,Is the tallest redwood tree in the world more or less than 85 feet tall?,Scenario-based heuristics/biases evidence. Use for decision-style summaries and a few diagnostic examples.
Anchoring - redwood low::QID168,QID168,Anchoring - redwood low,TE,heuristics_biases,"[""QID168_TEXT""]",1,observed_in_twin,heuristics_and_biases,raw_plus_block_summary,decision_style;derived_dimensions.decision_style;derived_dimensions.consumer_style,medium,How tall do you think the tallest redwood tree in the world is? Enter a number of feet.,Scenario-based heuristics/biases evidence. Use for decision-style summaries and a few diagnostic examples.
Base-rate 30 engineers::QID154,QID154,Base-rate 30 engineers,Slider,other,"[""QID154""]",1,observed_in_twin,heuristics_and_biases,raw_plus_block_summary,decision_style;derived_dimensions.decision_style;derived_dimensions.consumer_style,medium,"A panel of psychologist have interviewed and administered personality tests to 30 engineers and 70 lawyers, all successful in their respective fields. On the basis of this informat",Scenario-based heuristics/biases evidence. Use for decision-style summaries and a few diagnostic examples.
Base-rate 70 engineers::QID156,QID156,Base-rate 70 engineers,Slider,other,"[""QID156""]",1,observed_in_twin,heuristics_and_biases,raw_plus_block_summary,decision_style;derived_dimensions.decision_style;derived_dimensions.consumer_style,medium,"A panel of psychologist have interviewed and administered personality tests to 70 engineers and 30 lawyers, all successful in their respective fields. On the basis of this informat",Scenario-based heuristics/biases evidence. Use for decision-style summaries and a few diagnostic examples.
Cognitive tests::QID123,QID123,Cognitive tests,TE,cognitive_tests,"[""QID123_TEXT""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,You just answered 42 questions that measured your performance on various cognitive tests. How many of these questions do you think you answered correctly? Enter a whole number betw,Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID124,QID124,Cognitive tests,TE,cognitive_tests,"[""QID124_TEXT""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,"How many of these questions do you think you people from a representative sample of the US adult population would answer correctly, on average? Enter a number between 0 and 42.",Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID217,QID217,Cognitive tests,MC,cognitive_tests,"[""QID217""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,You are now going to receive a series of four problems. You must decide whether the stated conclusion follows logically from the premises or not. You must suppose that the premises,Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID218,QID218,Cognitive tests,MC,cognitive_tests,"[""QID218""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,"Premise 1: If the winter is harsh, then there will be a flu epidemic. Premise 2: The winter is harsh. Conclusion: There will be a flu epidemic. Does the conclusion follow logically",Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID219,QID219,Cognitive tests,MC,cognitive_tests,"[""QID219""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,"Premise 1: If a car is a Honda, then it is expensive. Premise 2: A car is a Honda. Conclusion: The car is expensive. Does the conclusion follow logically from the premises ?",Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID220,QID220,Cognitive tests,MC,cognitive_tests,"[""QID220""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,"Premise 1: If a person eats hamburgers, then they will get cancer. Premise 2: A person eats hamburgers. Conclusion: The person will get cancer. Does the conclusion follow logically",Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID221,QID221,Cognitive tests,MC,cognitive_tests,"[""QID221_1"", ""QID221_2"", ""QID221_3"", ""QID221_4""]",4,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,"Imagine you see a number of cards from a set of cards. Each card in the set has a capital letter on one side and a number on the other. Naturally, only one side is visible in each ",Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID241,QID241,Cognitive tests,DB,cognitive_tests,[],0,exclude,scaffolding,drop,,exclude,"In this section, you will answer a series of 42 questions that will test your performance on various cognitive tests.","Instruction, section-intro, or transition page with no participant response."
Cognitive tests::QID265,QID265,Cognitive tests,DB,cognitive_tests,[],0,exclude,scaffolding,drop,,exclude,This completes this section. You will now move on to the next section.,"Instruction, section-intro, or transition page with no participant response."
Cognitive tests::QID268,QID268,Cognitive tests,MC,cognitive_tests,"[""QID268""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,"If a glock is not a XAR, you can say:",Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID269,QID269,Cognitive tests,MC,cognitive_tests,"[""QID269""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,"If a koy is a YOF, you can say:",Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID270,QID270,Cognitive tests,MC,cognitive_tests,"[""QID270""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,"If a koy is not a YOF, you can say:",Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID271,QID271,Cognitive tests,MC,cognitive_tests,"[""QID271""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,Premise 1: All animals love water. Premise 2: Plants do not love water. Conclusion: Plants are not animals. Does the conclusion follow logically from the premises ?,Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID272,QID272,Cognitive tests,MC,cognitive_tests,"[""QID272""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,Premise 1: All animals with four legs are dangerous. Premise 2: Poodles are not dangerous. Conclusion: Poodles do not have four legs. Does the conclusion follow logically from the ,Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID273,QID273,Cognitive tests,MC,cognitive_tests,"[""QID273""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,Premise 1: All eastern countries are communist. Premise 2: China is not an eastern country. Conclusion: China is not communist. Does the conclusion follow logically from the premis,Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID274,QID274,Cognitive tests,MC,cognitive_tests,"[""QID274""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,Premise 1: All flowers have petals. Premise 2: Roses have petals. Conclusion: Roses are flowers. Does the conclusion follow logically from the premises ?,Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID275,QID275,Cognitive tests,MC,cognitive_tests,"[""QID275""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,Premise 1: All mammals swim. Premise 2: Whales are mammals. Conclusion: Whales swim. Does the conclusion follow logically from the premises ?,Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID276,QID276,Cognitive tests,MC,cognitive_tests,"[""QID276""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,Premise 1: All unemployed people are poor. Premise 2: Rockefeller is not unemployed. Conclusion: Rockefeller is not poor. Does the conclusion follow logically from the premises ?,Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID277,QID277,Cognitive tests,MC,cognitive_tests,"[""QID277""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,Premise I: All things that have a motor need oil. Premise 2: Bicycles need oil. Conclusion: Bicycles have motors. Does the conclusion follow logically from the premises ?,Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID278,QID278,Cognitive tests,MC,cognitive_tests,"[""QID278""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,"Suppose that it is true that: All the XAR's are YOF's. With this in mind, answer the following questions. If a glock is a XAR, you can say:",Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID279,QID279,Cognitive tests,MC,cognitive_tests,"[""QID279""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,You are now going to receive a series of eight problems. You must decide whether the stated conclusion follows logically from the premises or not. You must suppose that the premise,Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID36,QID36,Cognitive tests,MC,cognitive_tests,"[""QID36""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,"Do you think that the following statement is true or false? ""A 15-year mortgage typically requires higher monthly payments than a 30-year mortgage, but the total interest paid over",Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID37,QID37,Cognitive tests,MC,cognitive_tests,"[""QID37""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,"Imagine that the interest rate on your saving account was 1% per year and inflation was 2% per year. After 1 year, would you be able to buy:",Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID38,QID38,Cognitive tests,MC,cognitive_tests,"[""QID38""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,"Normally, which asset described below displays the highest fluctuations over time?",Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID39,QID39,Cognitive tests,MC,cognitive_tests,"[""QID39""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,"Do you think that the following statement is true or false? ""If you were to invest $1,000 in a stock mutual fund, it would be possible to have less than $1,000 when you withdraw yo",Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID40,QID40,Cognitive tests,MC,cognitive_tests,"[""QID40""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,"When an investor spreads their money among different assets, the risk of losing a lot of money:",Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID41,QID41,Cognitive tests,MC,cognitive_tests,"[""QID41""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,"Considering a long time period (for example 10 or 20 years), which asset described below normally gives the highest return?",Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID42,QID42,Cognitive tests,MC,cognitive_tests,"[""QID42""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,"Do you think that the following statement is true or false? ""After age 70 and a half, you have to withdraw at least some money from your 401(k) plan or IRA.""",Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID43,QID43,Cognitive tests,TE,cognitive_tests,"[""QID43_TEXT""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,"Suppose you owe $3,000 on your credit card. You pay a minimum payment of $30 each month. At an Annual Percentage Rate of 12% (or 1% per month), how many years would it take to elim",Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID44,QID44,Cognitive tests,TE,cognitive_tests,"[""QID44_TEXT""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,"Imagine that we roll a fair, six-sided die 1,000 times. Out of 1,000 rolls, how many times do you think the die would come up as an even number? Which is the most likely outcome? E",Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID45,QID45,Cognitive tests,TE,cognitive_tests,"[""QID45_TEXT""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,"In the BIG BUCKS LOTTERY, the chance of winning a $10.00 prize is 1%. What is your best guess about how many people would win a $10.00 prize if 1,000 people each buy a single ticke",Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID46,QID46,Cognitive tests,TE,cognitive_tests,"[""QID46_TEXT""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,"If the chance of getting a disease is 20 out of 100, this would be the same as having a [blank]% chance of getting the disease. Enter a percentage from 0 to 100.",Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID47,QID47,Cognitive tests,TE,cognitive_tests,"[""QID47_TEXT""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,"In the ACME PUBLISHING SWEEPSTAKES, the chance of winning a car is 1 in 1,000. What percent of tickets of ACME PUBLISHING SWEEPSTAKES win a car? Enter a percentage from 0 to 100.",Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID48,QID48,Cognitive tests,TE,cognitive_tests,"[""QID48_TEXT""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,"If the chance of getting a disease is 10%, how many people would be expected to get the disease out of 1,000? Enter a number from 0 to 1,000.",Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID49,QID49,Cognitive tests,TE,cognitive_tests,"[""QID49_TEXT""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,"If it takes 5 machines 5 minutes to make 5 widgets, how long would it take 100 machines to make 100 widgets? Enter a number of minutes.",Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID50,QID50,Cognitive tests,TE,cognitive_tests,"[""QID50_TEXT""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,A bat and ball cost $1.10 in total. The bat costs $1.00 more than the ball. How much does the ball cost? Enter a number in dollars.,Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID51,QID51,Cognitive tests,TE,cognitive_tests,"[""QID51_TEXT""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,"In a lake, there is a patch of lily pads. Every day, the patch doubles in size. If it takes 48 days for the patch to cover the entire lake, how long would it take for the patch to ",Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID52,QID52,Cognitive tests,TE,cognitive_tests,"[""QID52_TEXT""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,Emily’s father has three daughters. The first two are named April and May. What is the third daughter’s name?,Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID53,QID53,Cognitive tests,TE,cognitive_tests,"[""QID53_TEXT""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,How many cubic feet of dirt are there in a hole that is 3’ deep x 3’ wide x 3’ long? Enter a number of cubic feet.,Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID54,QID54,Cognitive tests,TE,cognitive_tests,"[""QID54_TEXT""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,"If you’re running a race and you pass the person in second place, what place are you in? Enter a number.",Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID55,QID55,Cognitive tests,TE,cognitive_tests,"[""QID55_TEXT""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,A farmer had 15 sheep and all but 8 died. How many are left? Enter a number,Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID56,QID56,Cognitive tests,MC,cognitive_tests,"[""QID56""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,Please indicate which is the best answer to solve the puzzle below. Puzzle Grid (3x3 Matrix) Each cell in a 3x3 matrix contains a circle with an arrow pointing in one of four direc,Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID57,QID57,Cognitive tests,MC,cognitive_tests,"[""QID57""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,"Please indicate which is the best answer to complete the figure below. STRUCTURE OF THE IMAGE: The image is a 3x3 grid of figures (3 rows, 3 columns), with a six-option answer key ",Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID58,QID58,Cognitive tests,MC,cognitive_tests,"[""QID58""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,"Please indicate which is the best answer to complete the puzzle below. Puzzle Description: The puzzle is a 3x3 grid of black and white squares, each containing a distinct symbol or",Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID59,QID59,Cognitive tests,MC,cognitive_tests,"[""QID59""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,"All the cubes below have a different image on each side. Select the choice that could represent a rotation of the cube labeled X Main Cube (X) Cube X shows three visible faces, eac",Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID60,QID60,Cognitive tests,MC,cognitive_tests,"[""QID60""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,All the cubes below have a different image on each side. Select the choice that could represent a rotation of the cube labeled X Description of Cube X: Cube X has three visible fac,Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID61,QID61,Cognitive tests,MC,cognitive_tests,"[""QID61""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,All the cubes below have a different image on each side. Select the choice that could represent a rotation of the cube labeled X The Task: You are given a cube labeled X and asked ,Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID62,QID62,Cognitive tests,DB,cognitive_tests,[],0,exclude,scaffolding,drop,,exclude,"Each of the 10 questions in the next task consists of a word in capital letters, followed by five words as the answer options. Please select the word that is most nearly the SAME i","Instruction, section-intro, or transition page with no participant response."
Cognitive tests::QID63,QID63,Cognitive tests,MC,cognitive_tests,"[""QID63""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,Synonym: Select the word that is most nearly the same in meaning as CONCUR,Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID64,QID64,Cognitive tests,MC,cognitive_tests,"[""QID64""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,Synonym: Select the word that is most nearly the same in meaning as CONFISCATE,Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID65,QID65,Cognitive tests,MC,cognitive_tests,"[""QID65""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,Synonym: Select the word that is most nearly the same in meaning as SOLICIT,Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID66,QID66,Cognitive tests,MC,cognitive_tests,"[""QID66""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,Synonym: Select the word that is most nearly the same in meaning as FURTIVE,Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID67,QID67,Cognitive tests,MC,cognitive_tests,"[""QID67""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,Synonym: Select the word that is most nearly the same in meaning as ASTUTE,Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID68,QID68,Cognitive tests,MC,cognitive_tests,"[""QID68""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,Synonym: Select the word that is most nearly the same in meaning as COVET,Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID69,QID69,Cognitive tests,MC,cognitive_tests,"[""QID69""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,Synonym: Select the word that is most nearly the same in meaning as OSCILLATE,Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID70,QID70,Cognitive tests,MC,cognitive_tests,"[""QID70""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,Synonym: Select the word that is most nearly the same in meaning as INDOLENT,Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID71,QID71,Cognitive tests,MC,cognitive_tests,"[""QID71""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,Synonym: Select the word that is most nearly the same in meaning as DISPARITY,Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID72,QID72,Cognitive tests,MC,cognitive_tests,"[""QID72""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,Synonym: Select the word that is most nearly the same in meaning as INDIGENT,Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID73,QID73,Cognitive tests,DB,cognitive_tests,[],0,exclude,scaffolding,drop,,exclude,"Each of the 10 questions in the next task consists of a word in capital letters, followed by five words as the answer options. Please select the word that is most nearly the OPPOSI","Instruction, section-intro, or transition page with no participant response."
Cognitive tests::QID74,QID74,Cognitive tests,MC,cognitive_tests,"[""QID74""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,Antonym: Select the word that is most nearly the opposite in meaning to SATED,Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID75,QID75,Cognitive tests,MC,cognitive_tests,"[""QID75""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,Antonym: Select the word that is most nearly the opposite in meaning to COMPLAISANT,Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID76,QID76,Cognitive tests,MC,cognitive_tests,"[""QID76""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,Antonym: Select the word that is most nearly the opposite in meaning to ALOOF,Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID77,QID77,Cognitive tests,MC,cognitive_tests,"[""QID77""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,Antonym: Select the word that is most nearly the opposite in meaning to ABOMINATE,Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID78,QID78,Cognitive tests,MC,cognitive_tests,"[""QID78""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,Antonym: Select the word that is most nearly the opposite in meaning to VERBOSE,Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID79,QID79,Cognitive tests,MC,cognitive_tests,"[""QID79""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,Antonym: Select the word that is most nearly the opposite in meaning to DEARTH,Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID80,QID80,Cognitive tests,MC,cognitive_tests,"[""QID80""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,Antonym: Select the word that is most nearly the opposite in meaning to SPORADIC,Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
Cognitive tests::QID81,QID81,Cognitive tests,MC,cognitive_tests,"[""QID81""]",1,observed_in_twin,cognitive_performance,score_then_summarize,decision_style;derived_dimensions.decision_style,medium,Antonym: Select the word that is most nearly the opposite in meaning to CORPULENT,Prefer subscores and metacognitive gaps over item-by-item narration in the readable card.
